mesh_uri,snomed_uri,skos_property,confidence,mapping_method,mesh_id,snomed_id,snomed_term,frequency,entity_classes,corpora
http://id.nlm.nih.gov/mesh/D012640,http://snomed.info/id/91175000,skos:closeMatch,0.90,shared_cui,D012640,91175000,Seizure,556,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D007674,http://snomed.info/id/90708001,skos:closeMatch,0.90,shared_cui,D007674,90708001,Kidney disease,488,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D009369,http://snomed.info/id/108369006,skos:closeMatch,0.90,shared_cui,D009369,108369006,Neoplasm,474,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D004317,http://snomed.info/id/372817009,skos:closeMatch,0.90,shared_cui,D004317,372817009,Doxorubicin,410,chemical,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D006973,http://snomed.info/id/38341003,skos:closeMatch,0.90,shared_cui,D006973,38341003,Hypertensive disorder,343,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D003042,http://snomed.info/id/387085005,skos:closeMatch,0.90,shared_cui,D003042,387085005,Cocaine,294,chemical,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D064420,http://snomed.info/id/264519003,skos:closeMatch,0.90,shared_cui,D064420,264519003,Drug reaction,284,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D007022,http://snomed.info/id/45007003,skos:closeMatch,0.90,shared_cui,D007022,45007003,Low blood pressure,277,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D004409,http://snomed.info/id/102448004,skos:closeMatch,0.90,shared_cui,D004409,102448004,Drug-induced dyskinesia,207,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D056486,http://snomed.info/id/197352008,skos:closeMatch,0.90,shared_cui,D056486,197352008,Toxic hepatitis,207,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D004298,http://snomed.info/id/412383006,skos:closeMatch,0.90,shared_cui,D004298,412383006,Dopamine,205,chemical,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D010146,http://snomed.info/id/22253000,skos:closeMatch,0.90,shared_cui,D010146,22253000,Pain,199,disease,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D008094,http://snomed.info/id/85899009,skos:closeMatch,0.90,shared_cui,D008094,85899009,Lithium,196,chemical,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D002118,http://snomed.info/id/5540006,skos:closeMatch,0.90,shared_cui,D002118,5540006,Calcium,191,chemical,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D009020,http://snomed.info/id/373529000,skos:closeMatch,0.90,shared_cui,D009020,373529000,Morphine,191,chemical,"BC5CDR,BioRED"
http://id.nlm.nih.gov/mesh/D010300,http://snomed.info/id/49049000,skos:closeMatch,0.90,shared_cui,D010300,49049000,Parkinson's disease,190,disease,"BC5CDR,BioRED"
