mesh_id,snomed_id,snomed_term,confidence,mapping_method,frequency,entity_classes,corpora,snomed_active
D012640,91175000,Seizure,0.90,shared_cui,556,disease,"BC5CDR,BioRED",true
D007674,90708001,Kidney disease,0.90,shared_cui,488,disease,"BC5CDR,BioRED",true
D009369,108369006,Neoplasm,0.90,shared_cui,474,disease,"BC5CDR,BioRED",true
D004317,372817009,Doxorubicin,0.90,shared_cui,410,chemical,"BC5CDR,BioRED",true
D006973,38341003,Hypertensive disorder,0.90,shared_cui,343,disease,"BC5CDR,BioRED",true
D003042,387085005,Cocaine,0.90,shared_cui,294,chemical,"BC5CDR,BioRED",true
D064420,264519003,Drug reaction,0.90,shared_cui,284,disease,"BC5CDR,BioRED",true
D007022,45007003,Low blood pressure,0.90,shared_cui,277,disease,"BC5CDR,BioRED",true
D004409,102448004,Drug-induced dyskinesia,0.90,shared_cui,207,disease,"BC5CDR,BioRED",true
D056486,197352008,Toxic hepatitis,0.90,shared_cui,207,disease,"BC5CDR,BioRED",true
D004298,412383006,Dopamine,0.90,shared_cui,205,chemical,"BC5CDR,BioRED",true
D010146,22253000,Pain,0.90,shared_cui,199,disease,"BC5CDR,BioRED",true
D008094,85899009,Lithium,0.90,shared_cui,196,chemical,"BC5CDR,BioRED",true
D002118,5540006,Calcium,0.90,shared_cui,191,chemical,"BC5CDR,BioRED",true
D009020,373529000,Morphine,0.90,shared_cui,191,chemical,"BC5CDR,BioRED",true
D010300,49049000,Parkinson's disease,0.90,shared_cui,190,disease,"BC5CDR,BioRED",true
D003520,387420009,Cyclophosphamide,0.90,shared_cui,181,chemical,"BC5CDR,BioRED",true
D003907,372584003,Dexamethasone,0.90,shared_cui,181,chemical,"BC5CDR,BioRED",true
D007980,387086006,Levodopa,0.90,shared_cui,176,chemical,"BC5CDR,BioRED",true
D007545,372781009,Isoproterenol,0.90,shared_cui,175,chemical,"BC5CDR,BioRED",true
D000082,387517004,Acetaminophen,0.90,shared_cui,165,chemical,"BC5CDR,BioRED",true
D010862,372895002,Pilocarpine,0.90,shared_cui,165,chemical,"BC5CDR,BioRED",true
D008694,387499002,Methamphetamine,0.90,shared_cui,163,chemical,"BC5CDR,BioRED",true
D066126,863954001,Cardiotoxicity,0.90,shared_cui,162,disease,"BC5CDR,BioRED",true
D009203,22298006,Myocardial infarction,0.90,shared_cui,161,disease,"BC5CDR,BioRED",true
D012701,33635003,Serotonin,0.90,shared_cui,147,chemical,"BC5CDR,BioRED",true
D005472,387172005,Fluorouracil,0.90,shared_cui,145,chemical,"BC5CDR,BioRED",true
D006220,386837002,Haloperidol,0.90,shared_cui,144,chemical,"BC5CDR,BioRED",true
D012964,39972003,Sodium,0.90,shared_cui,143,chemical,"BC5CDR,BioRED",true
D003404,15373003,Creatinine,0.90,shared_cui,134,chemical,"BC5CDR,BioRED",true
D016559,386975001,Tacrolimus,0.90,shared_cui,133,chemical,"BC5CDR,BioRED",true
D001145,698247007,Cardiac arrhythmia,0.90,shared_cui,132,disease,"BC5CDR,BioRED",true
D020258,19466003,Neurotoxicity,0.90,shared_cui,132,disease,"BC5CDR,BioRED",true
D011507,29738008,Proteinuria,0.90,shared_cui,129,disease,"BC5CDR,BioRED",true
D058186,14669001,Acute kidney injury,0.90,shared_cui,128,disease,"BC5CDR,BioRED",true
D018817,288459003,Methylenedioxymethamphetamine,0.90,shared_cui,127,chemical,"BC5CDR,BioRED",true
D001943,126926005,Neoplasm of breast,0.90,shared_cui,126,disease,"BC5CDR,BioRED",true
D007249,257552002,Inflammation,0.90,shared_cui,126,disease,"BC5CDR,BioRED",true
D011188,88480006,Potassium,0.90,shared_cui,126,chemical,"BC5CDR,BioRED",true
D014635,264325000,Valproate,0.90,shared_cui,123,chemical,"BC5CDR,BioRED",true
D006493,372877000,Heparin,0.90,shared_cui,119,chemical,BC5CDR,true
D003920,73211009,Diabetes mellitus,0.90,shared_cui,118,disease,"BC5CDR,BioRED",true
D004837,387362001,Epinephrine,0.90,shared_cui,118,chemical,"BC5CDR,BioRED",true
D001919,48867003,Bradycardia,0.90,shared_cui,117,disease,"BC5CDR,BioRED",true
D005947,67079006,Glucose,0.90,shared_cui,116,chemical,"BC5CDR,BioRED",true
D013921,302215000,Thrombocytopenic disorder,0.90,shared_cui,116,disease,"BC5CDR,BioRED",true
D020123,387014003,Sirolimus,0.90,shared_cui,116,chemical,"BC5CDR,BioRED",true
D002375,13052006,Waxy flexibility,0.90,shared_cui,115,disease,"BC5CDR,BioRED",true
D002045,387150008,Bupivacaine,0.90,shared_cui,114,chemical,"BC5CDR,BioRED",true
D008012,387480006,Lidocaine,0.90,shared_cui,114,chemical,"BC5CDR,BioRED",true
D011692,372723005,Antineoplastic antibiotic,0.65,mrrel_rb,114,chemical,"BC5CDR,BioRED",true
D009202,85898001,Cardiomyopathy,0.90,shared_cui,113,disease,"BC5CDR,BioRED",true
D003866,35489007,Depressive disorder,0.90,shared_cui,112,disease,"BC5CDR,BioRED",true
D006333,84114007,Heart failure,0.90,shared_cui,112,disease,"BC5CDR,BioRED",true
D014859,372756006,Warfarin,0.90,shared_cui,112,chemical,"BC5CDR,BioRED",true
D009538,68540007,Nicotine,0.90,shared_cui,111,chemical,"BC5CDR,BioRED",true
D009569,6710000,Nitric oxide,0.90,shared_cui,111,chemical,"BC5CDR,BioRED",true
D006470,131148009,Bleeding,0.90,shared_cui,110,disease,"BC5CDR,BioRED",true
D002945,387318005,Cisplatin,0.90,shared_cui,108,chemical,"BC5CDR,BioRED",true
D013311,16915004,Streptozocin,0.90,shared_cui,107,chemical,"BC5CDR,BioRED",true
D016572,387467008,Cyclosporine,0.90,shared_cui,107,chemical,"BC5CDR,BioRED",true
D007676,90688005,Chronic renal failure,0.90,shared_cui,106,disease,"BC5CDR,BioRED",true
D011471,126906006,Neoplasm of prostate,0.90,shared_cui,106,disease,"BC5CDR,BioRED",true
D002543,274100004,Cerebral hemorrhage,0.90,shared_cui,105,disease,"BC5CDR,BioRED",true
D000638,372821002,Amiodarone,0.90,shared_cui,104,chemical,"BC5CDR,BioRED",true
D011433,372772003,Propranolol,0.90,shared_cui,102,chemical,"BC5CDR,BioRED",true
D018967,386840002,Risperidone,0.90,shared_cui,101,chemical,"BC5CDR,BioRED",true
D000740,271737000,Anemia,0.90,shared_cui,98,disease,"BC5CDR,BioRED",true
D004827,18618006,Aura,0.90,shared_cui,98,disease,"BC5CDR,BioRED",true
D002110,255641001,Caffeine,0.90,shared_cui,97,chemical,"BC5CDR,BioRED",true
D002220,387222003,Carbamazepine,0.90,shared_cui,97,chemical,"BC5CDR,BioRED",true
D001927,81308009,Disorder of brain,0.90,shared_cui,96,disease,"BC5CDR,BioRED",true
D051437,236423003,Renal impairment,0.90,shared_cui,96,disease,"BC5CDR,BioRED",true
D000431,419442005,Ethanol,0.90,shared_cui,95,chemical,"BC5CDR,BioRED",true
D000661,703842006,Amphetamine,0.90,shared_cui,94,chemical,"BC5CDR,BioRED",true
D005996,717282000,Dynamite,0.90,shared_cui,93,chemical,"BC5CDR,BioRED",true
D009422,118940003,Disorder of nervous system,0.90,shared_cui,92,disease,"BC5CDR,BioRED",true
D013226,230456007,Status epilepticus,0.90,shared_cui,92,disease,"BC5CDR,BioRED",true
D001714,13746004,Bipolar disorder,0.90,shared_cui,89,disease,"BC5CDR,BioRED",true
D012559,58214004,Schizophrenia,0.90,shared_cui,89,disease,"BC5CDR,BioRED",true
D006930,247404004,Allodynia,0.90,shared_cui,88,disease,"BC5CDR,BioRED",true
D001241,387458008,Aspirin,0.90,shared_cui,87,chemical,"BC5CDR,BioRED",true
D005839,387321007,Gentamicin,0.90,shared_cui,87,chemical,BC5CDR,true
D017114,197270009,Acute hepatic failure,0.90,shared_cui,87,disease,"BC5CDR,BioRED",true
D019259,386897000,Lamivudine,0.90,shared_cui,87,chemical,"BC5CDR,BioRED",true
D003072,443265004,Cognitive disorder,0.90,shared_cui,86,disease,"BC5CDR,BioRED",true
D020521,230690007,Cerebrovascular accident,0.90,shared_cui,85,disease,"BC5CDR,BioRED",true
D007069,386904003,Ifosfamide,0.90,shared_cui,84,chemical,"BC5CDR,BioRED",true
D008569,386807006,Memory impairment,0.90,shared_cui,84,disease,"BC5CDR,BioRED",true
D012601,387409009,Scopolamine,0.90,shared_cui,84,chemical,"BC5CDR,BioRED",true
D006331,56265001,Heart disease,0.90,shared_cui,83,disease,"BC5CDR,BioRED",true
D013256,116566001,Steroid,0.90,shared_cui,83,chemical,"BC5CDR,BioRED",true
D001058,387375001,Apomorphine,0.90,shared_cui,82,chemical,"BC5CDR,BioRED",true
D008180,55464009,Systemic lupus erythematosus,0.90,shared_cui,82,disease,"BC5CDR,BioRED",true
D001523,74732009,Mental disorder,0.90,shared_cui,81,disease,"BC5CDR,BioRED",true
D015215,387151007,Zidovudine,0.90,shared_cui,81,chemical,"BC5CDR,BioRED",true
D016171,31722008,Torsades de pointes,0.90,shared_cui,81,disease,"BC5CDR,BioRED",true
D006948,44548000,Hyperkinesia,0.90,shared_cui,79,disease,"BC5CDR,BioRED",true
D013390,372724004,Succinylcholine,0.90,shared_cui,78,chemical,"BC5CDR,BioRED",true
D003000,372805007,Clonidine,0.90,shared_cui,77,chemical,"BC5CDR,BioRED",true
D003556,38822007,Cystitis,0.90,shared_cui,77,disease,"BC5CDR,BioRED",true
D013927,396339007,Thrombus,0.90,shared_cui,77,disease,"BC5CDR,BioRED",true
D009638,45555007,Norepinephrine,0.90,shared_cui,76,chemical,"BC5CDR,BioRED",true
D012254,387188005,Ribavirin,0.90,shared_cui,76,chemical,"BC5CDR,BioRED",true
D001480,76349003,Extrapyramidal disease,0.90,shared_cui,74,disease,"BC5CDR,BioRED",true
D017239,387374002,Paclitaxel,0.90,shared_cui,73,chemical,"BC5CDR,BioRED",true
D010634,373505007,Phenobarbital,0.90,shared_cui,72,chemical,"BC5CDR,BioRED",true
D018698,430503006,Glutamate,0.90,shared_cui,72,chemical,"BC5CDR,BioRED",true
D015742,387423006,Propofol,0.90,shared_cui,71,chemical,"BC5CDR,BioRED",true
D016202,105590001,Substance,0.40,"sty_fallback:Amino Acid, Peptide, or Protein",71,chemical,"BC5CDR,BioRED",true
D001172,69896004,Rheumatoid arthritis,0.90,shared_cui,69,disease,"BC5CDR,BioRED",true
D010100,24099007,Oxygen,0.90,shared_cui,69,chemical,"BC5CDR,BioRED",true
D003975,387264003,Diazepam,0.90,shared_cui,68,chemical,"BC5CDR,BioRED",true
D014700,372754009,Verapamil,0.90,shared_cui,68,chemical,"BC5CDR,BioRED",true
D002318,49601007,Disorder of cardiovascular system,0.90,shared_cui,67,disease,"BC5CDR,BioRED",true
D006528,109841003,Liver cell carcinoma,0.90,shared_cui,67,disease,"BC5CDR,BioRED",true
D001008,197480006,Anxiety disorder,0.90,shared_cui,66,disease,"BC5CDR,BioRED",true
D003324,443502000,Coronary atherosclerosis,0.90,shared_cui,65,disease,"BC5CDR,BioRED",true
D009135,129565002,Disorder of muscle,0.90,shared_cui,65,disease,"BC5CDR,BioRED",true
D017180,25569003,Ventricular tachycardia,0.90,shared_cui,65,disease,"BC5CDR,BioRED",true
D019821,387584000,Simvastatin,0.90,shared_cui,65,chemical,"BC5CDR,BioRED",true
D005680,259100002,Gamma-aminobutyric acid,0.90,shared_cui,63,chemical,"BC5CDR,BioRED",true
D007649,373464007,Ketamine,0.90,shared_cui,63,chemical,"BC5CDR,BioRED",true
D000544,12348006,Presenile dementia,0.90,shared_cui,62,disease,"BC5CDR,BioRED",true
D000743,61261009,Hemolytic anemia,0.90,shared_cui,62,disease,"BC5CDR,BioRED",true
D001281,49436004,Atrial fibrillation,0.90,shared_cui,62,disease,"BC5CDR,BioRED",true
D007239,257551009,Infection,0.90,shared_cui,62,disease,"BC5CDR,BioRED",false
D007511,52674009,Ischemia,0.90,shared_cui,62,disease,"BC5CDR,BioRED",true
D009404,52254009,Nephrotic syndrome,0.90,shared_cui,62,disease,"BC5CDR,BioRED",true
D013739,43688007,Testosterone,0.90,shared_cui,62,chemical,"BC5CDR,BioRED",true
D005473,372767007,Fluoxetine,0.90,shared_cui,61,chemical,"BC5CDR,BioRED",true
D008691,387286002,Methadone,0.90,shared_cui,61,chemical,"BC5CDR,BioRED",true
D000860,389086002,Hypoxia,0.90,shared_cui,60,disease,"BC5CDR,BioRED",true
D002330,387281007,Carmustine,0.90,shared_cui,60,chemical,"BC5CDR,BioRED",true
D003024,387568001,Clozapine,0.90,shared_cui,60,chemical,"BC5CDR,BioRED",true
D005355,112674009,Fibrosis,0.90,shared_cui,60,disease,"BC5CDR,BioRED",true
D009765,414915002,Obese,0.90,shared_cui,60,disease,"BC5CDR,BioRED",true
