corpus,source_relation,subj_class,obj_class,pairs,causative_agent_exact,causative_agent_exact_rate,causative_agent_anc,causative_agent_anc_rate,due_to_anc,due_to_anc_rate,after_anc,after_anc_rate
BC5CDR,CID,chemical,disease,2844,2,0.0007,137,0.0482,0,0.0,0,0.0
BioRED,Association,chemical,chemical,118,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Association,chemical,disease,114,0,0.0,4,0.0351,0,0.0,0,0.0
BioRED,Association,disease,chemical,49,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Comparison,chemical,chemical,29,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Conversion,chemical,chemical,3,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Cotreatment,chemical,chemical,39,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Drug_Interaction,chemical,chemical,7,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Negative_Correlation,chemical,chemical,165,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Negative_Correlation,chemical,disease,261,0,0.0,8,0.0307,0,0.0,0,0.0
BioRED,Negative_Correlation,disease,chemical,107,0,0.0,1,0.0093,0,0.0,0,0.0
BioRED,Positive_Correlation,chemical,chemical,83,0,0.0,0,0.0,0,0.0,0,0.0
BioRED,Positive_Correlation,chemical,disease,391,0,0.0,33,0.0844,0,0.0,0,0.0
BioRED,Positive_Correlation,disease,chemical,164,0,0.0,6,0.0366,0,0.0,0,0.0
